,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
136,137,Hanne Kogstad,no NOR,FW,Klepp,26.0,1990.0,22,22,1858,20.6,6,,6,0,0,0,0,0.29,,,0.29,,Matches
137,138,Elise Krieghoff,us USA,FW,Vålerenga,23.0,1993.0,19,13,1173,13.0,7,,7,0,0,2,0,0.54,,,0.54,,Matches
138,139,Emilie Kristiansen,no NOR,FW,Medkila,17.0,1999.0,20,20,1621,18.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
139,140,Mia Kristin Nygard,no NOR,MF,Sandviken,23.0,1993.0,8,1,199,2.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
140,141,Sara Kristine Eggesvik,no NOR,MF,Grand Bodø,19.0,1997.0,21,19,1706,19.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
141,142,Ina Kristoffersen,no NOR,DF,Klepp,17.0,1999.0,5,0,47,0.5,0,,0,0,0,0,0,0.0,,,0.0,,Matches
142,143,Megan Kufeld,us USA,GK,Medkila,23.0,1993.0,11,11,967,10.7,0,,0,0,0,0,0,0.0,,,0.0,,Matches
143,144,Camilla Kur Larsen,dk DEN,FW,Vålerenga,27.0,1989.0,11,8,789,8.8,2,,2,0,0,0,0,0.23,,,0.23,,Matches
144,145,Cecilie Kvamme,no NOR,DF,Arna-Bjørnar,21.0,1995.0,20,18,1643,18.3,2,,2,0,0,1,0,0.11,,,0.11,,Matches
145,146,Ingrid Kvernvolden,no NOR,FW,LSK Kvinner,18.0,1998.0,18,3,527,5.9,7,,7,0,0,0,0,1.2,,,1.2,,Matches
146,147,Elise Kvinge,no NOR,FW,Sandviken,14.0,2002.0,1,0,6,0.1,1,,1,0,0,0,0,15.0,,,15.0,,Matches
147,148,Lena Lauve,no NOR,GK,LSK Kvinner,28.0,1988.0,3,2,187,2.1,0,,0,0,0,0,0,0.0,,,0.0,,Matches
148,149,Kristine Leine,no NOR,DF,Røa,20.0,1996.0,22,22,1980,22.0,1,,1,0,0,1,0,0.05,,,0.05,,Matches
149,150,Gabrielle Lemos Lie,no NOR,MF,Røa,18.0,1998.0,8,2,270,3.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
150,151,Cecilie Liane,no NOR,DF,Stabæk,25.0,1991.0,22,22,1958,21.8,1,,1,0,0,1,0,0.05,,,0.05,,Matches
151,152,Mali Lilleås Næss,no NOR,DF,Trondheims-Ørn,22.0,1994.0,22,22,1980,22.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
152,153,Sunniva Lillestøl,no NOR,MF,Sandviken,22.0,1994.0,20,15,1358,15.1,2,,2,0,0,0,0,0.13,,,0.13,,Matches
153,154,Anita Line Nermark,no NOR,DF,Medkila,,,1,0,15,0.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
154,155,Anne Lise Olsen,no NOR,FW,Vålerenga,22.0,1994.0,14,9,812,9.0,4,,4,0,0,2,0,0.44,,,0.44,,Matches
155,156,Chloe Logarzo,au AUS,MF,Avaldsnes,22.0,1994.0,13,12,921,10.2,0,,0,0,0,2,0,0.0,,,0.0,,Matches
156,157,Luana,br BRA,MF,Avaldsnes,23.0,1993.0,16,11,1135,12.6,6,,6,0,0,3,0,0.48,,,0.48,,Matches
157,158,Victoria Ludvigsen,no NOR,FW,Stabæk,23.0,1993.0,22,22,1888,21.0,8,,8,0,0,0,0,0.38,,,0.38,,Matches
158,159,Aivi Luik,au AUS,MF,Vålerenga,31.0,1985.0,21,21,1793,19.9,3,,3,0,0,0,0,0.15,,,0.15,,Matches
